adaboost, 3, none, Clustering vs. Assortativity: 0.726579520697
adaboost, 3, none, Clustering vs. Transitivity: 0.747276688453
adaboost, 3, none, Pagerank vs. Centrality: 0.888888888889
adaboost, 3, none, Pagerank vs. Square_clustering: 0.882352941176
adaboost, 3, none, Pagerank vs. Assortativity: 0.811546840959
adaboost, 3, none, Pagerank vs. Transitivity: 0.81917211329
adaboost, 3, none, Centrality vs. Square_clustering: 0.953159041394
adaboost, 3, none, Centrality vs. Assortativity: 0.928104575163
adaboost, 3, none, Centrality vs. Transitivity: 0.938997821351
adaboost, 3, none, Square_clustering vs. Assortativity: 0.876906318083
adaboost, 3, none, Square_clustering vs. Transitivity: 0.822440087146
adaboost, 3, none, Assortativity vs. Transitivity: 0.855119825708
adaboost, 4, none, Number_Cliques vs. Clustering: 0.819221967963
adaboost, 4, none, Number_Cliques vs. Pagerank: 0.907322654462
adaboost, 4, none, Number_Cliques vs. Centrality: 0.971395881007
adaboost, 4, none, Number_Cliques vs. Square_clustering: 0.954233409611
adaboost, 4, none, Number_Cliques vs. Assortativity: 0.941647597254
adaboost, 4, none, Number_Cliques vs. Transitivity: 0.732265446224
adaboost, 4, none, Clustering vs. Pagerank: 0.20823798627
adaboost, 4, none, Clustering vs. Centrality: 0.905034324943
adaboost, 4, none, Clustering vs. Square_clustering: 0.87643020595
adaboost, 4, none, Clustering vs. Assortativity: 0.87643020595
adaboost, 4, none, Clustering vs. Transitivity: 0.640732265446
adaboost, 4, none, Pagerank vs. Centrality: 0.905034324943
adaboost, 4, none, Pagerank vs. Square_clustering: 0.220823798627
adaboost, 4, none, Pagerank vs. Assortativity: 0.906178489703
adaboost, 4, none, Pagerank vs. Transitivity: 0.20823798627
adaboost, 4, none, Centrality vs. Square_clustering: 0.905034324943
adaboost, 4, none, Centrality vs. Assortativity: 0.824942791762
adaboost, 4, none, Centrality vs. Transitivity: 0.905034324943
adaboost, 4, none, Square_clustering vs. Assortativity: 0.824942791762
adaboost, 4, none, Square_clustering vs. Transitivity: 0.95652173913
adaboost, 4, none, Assortativity vs. Transitivity: 0.884439359268
adaboost, 5, none, Number_Cliques vs. Clustering: 0.866935483871
adaboost, 5, none, Number_Cliques vs. Pagerank: 0.943548387097
adaboost, 5, none, Number_Cliques vs. Centrality: 1.0
adaboost, 5, none, Number_Cliques vs. Square_clustering: 0.966397849462
adaboost, 5, none, Number_Cliques vs. Assortativity: 0.942204301075
adaboost, 5, none, Number_Cliques vs. Transitivity: 0.837365591398
adaboost, 5, none, Clustering vs. Pagerank: 0.856182795699
adaboost, 5, none, Clustering vs. Centrality: 0.993279569892
adaboost, 5, none, Clustering vs. Square_clustering: 0.959677419355
adaboost, 5, none, Clustering vs. Assortativity: 0.942204301075
adaboost, 5, none, Clustering vs. Transitivity: 0.85752688172
adaboost, 5, none, Pagerank vs. Centrality: 0.993279569892
adaboost, 5, none, Pagerank vs. Square_clustering: 0.959677419355
adaboost, 5, none, Pagerank vs. Assortativity: 0.959677419355
adaboost, 5, none, Pagerank vs. Transitivity: 0.956989247312
adaboost, 5, none, Centrality vs. Square_clustering: 0.993279569892
adaboost, 5, none, Centrality vs. Assortativity: 1.0
adaboost, 5, none, Centrality vs. Transitivity: 0.993279569892
adaboost, 5, none, Square_clustering vs. Assortativity: 0.959677419355
adaboost, 5, none, Square_clustering vs. Transitivity: 0.959677419355
adaboost, 5, none, Assortativity vs. Transitivity: 0.915322580645
